,Cancer_Q
6781,Is hysterectomy the best solution if someone  aged 44 finds a few glandular cells with nuclear atypia in the pap smear report?
6782,Is it common to bleed for 3 days after a pap smear?
6783,Is it normal to bleed for 4 days after a pap smear?
6784,Is it normal to do a pap smear and have bleeding why having it done.
6785,Is it normal to have pain after pap smear?
6786,Is it normal to spot after a pap smear?
6787,Is it ok for midwives to do Pap smears?
6788,Is it ok to have sex the day before your pap smear?
6789,Is it okay to have sex if you have an abnormal pap smear?
6790,Is it possible for a Pap smear to show squamous cells but a biopsy to just show inflammation?
6791,Is it possible that i had trichinosis for over 3 yrs and it just show up my biopsy. Could my pap smear miss it.
6792,"Is it possible to have cryosurgery or leep, then have an abnormal pap 3 months after?"
6793,Is it safe to have a pap smear if you are a virgin.
6794,Is it unusual to have an abnormal pap 6 months following a colposcopy?
6795,Is palp smear test helpful finding cervical and uterus cancer?
6796,Is peripheral smear same as pathologist's review?
6797,Is the next step colposcopy if you have an abnormal pap smear?
6798,Is there a child's size speculum for pap smears?
6799,Is there a need for pap smears if supracervical hysterectomy done?
6800,Is there a way for your pap smear not to hurt?
6801,Is there any other way to test for std's then with a pap smear? If there is how effective is it?
6802,Is there such thing as having an abnormal pap smear if you were infected with HPV in your mouth?
6803,Just found out not too long ago that I had an abnormal pap smear do I have to have a colposcopy?
6804,Just received a letter from the doctor saying that I have an abnormal pap smear. What could it mean?
6805,"LSIL and HPV+, 3 months later, negative biopsy. What does this mean?"
6806,"Last July2014, my Pap shows i have LGSIL & yeast infection & was advise for repeat after 3mos. now, it shows occasional metaplastic & few polymorphs."
6807,Last papsmear normal 8 months ago. Now they found cervicitis. Waiting for pap results. Could it be cervical cancer?
6808,"Last time i had a pap smear, my nurse commented that my cervix was ""way back there."" what does that mean?"
6809,"Last yr my pap was squamous metaplasia again, & hpv+, no dysplasia I was worried if this time it could be cancer? Do I need to worry about it?"
6810,Leep done for CIN 3. Clear margins. Pap smear 3 months later reads mild abnormalities. Doc says it's just inflammation. Then wouldn't it read ascus?
6811,Leep shows hsil cin3 w/ endocervical gland involvement. Exocervical margins positive. Endocervical margins clear. Pap in 3 months or cone biopsy now?
6812,Lsil came up during a pap but its not HPV what else can cause lsil ?
6813,Lsil with HPV negative results?
6814,"Mild inflammatory pap smear, negative on dysplastic cells. Should I worry? Doc prescribed antibiotics. When to repeat pap smear test again?"
6815,My GYN called & said my Pap smear results were atrophic. She stated that this meant that she didn't collect enough cells & I have to have another test?
6816,"My PAP came back with ""epithelial cell abnormality. LGSIL; mild dysplasia and human papilloma virus effects are present"". What does this mean?"
6817,My Pap smear said negative for intraepithelial lesion and malignancy but my guns is saying Pap results were negative but positive for HPV?
6818,"My Pap smear was of ASC-US. The letter from my doctor said ""abnormal,"" but the letter from the lab says ""ASC-US,"" unclear. Is it unclear or abnormal?"
6819,My abnormal pap (ascus+hpv) was 3/2012. It was followup from the last pap which was also abnormal (colposcopy was neg). Egg freezing ok or must wait?
6820,My cervical pap smear test report is negative for intraepithelial lesion or malignancy with sever inflammatory smear dr. Plz say about treatment?
6821,My doctor found blood on my cervix during a pap smear?
6822,My doctor said she saw a small white lesion while doing my pap smear could that mean I have cancer?
6823,My doctor says he needs to do a biopsy due to abnormal pap smear. Will it hurt?
6824,My doctor told me if you have an abnormal Pap smear you automatically have a strain of hpv. Is that true ?
6825,My dr said my pap results were 'normal'. What does that mean?
6826,My dr still does Pap smear every year even though I've never had an abnormal one. Isn't it every three years?
6827,My dr told me i had genatl warts he did a pap test to he told me it was slightly abnormal is this normal?
6828,"My first pap smears results back as abnormal, ascus +reactive endocervical cells, HPV neg, im 17 weeks pregnant, what does this mean?"
6829,My friend spotted two day after a pap smear what wrong?
6830,"My gyn doc did a pap smear and said I bled during scraping - I could see blood as he spread it on smear plate, he said it won't obscure result. True?"
6831,My husband has HPV and I have SLIL says my pap smear...what now?
6832,My lab results stated pap smear of cervix with low grade. What does it mean?
6833,My last pap had endrometrial cells in it. My doctor has scheduled an endometrial biopsy from the uterus. I had just started my period at the time of the pap - could this produce the e-cells? What does the presence of the e-cells possibly indicate? What
6834,My last vaginal swab showed candida and leucocytes. I had an abnormal Pap smear last year. Are the white blood cells anything to worry about?
6835,My mom had a abnormal pap smear. Does this mean later down the road I may have it too?
6836,"My mom said that as a result of abnormal Pap smear, she had to get silver nitrate on her cervix. Was this caused by hpv?"
6837,My pap test indicates a few glandular cells with nuclear atypia and no HPV changes? Is it cancer?
6838,"My pap came back with, atypical squamous cells of undeterminedssignificance and HPV is present. What does that mean? Should I be concerned?"
6839,"My pap read: Specimen processed and examined, but unsatisfactory due to obscuring blood and inflammation. Neg high risk hpv. Treat? This cancer?"
6840,My pap says I have low epithelial precancerous cervical cells. HPV. Can they ago away. I read up and I seen people they that most of the time they do?
6841,"My pap says: negative for intraepithelial malignancy, reactive cellular changes, mixed flora. HPV Negative. should I be worried? Thank you"
6842,My pap showd HSIL and biopsies shows LSIL from colposcopy. Scheduled for a leep. Which is more accuarte and how often does this discrepancy happen.
6843,"My pap smear came bback abnormal. It was positive for hpv. I also had a colposcopy done and my doctor said there were a lot of abnormalties, what could be my results?  Is there a good chance I have cervical cancer?"
6844,My pap smear is positive and the DNA test showed high risk hpv. Am I in danger of cancer?
6845,"My pap smear result is moderate inflammation, what does it mean?"
6846,My pap smear result is moderate inflammation. What the means? Thanks doc.
6847,My pap smear result is negative for intraepithelial lesion or malignancy. Moderate inflammation. Do i still need to undergo cryotherapy?
6848,My pap smear results says squames and endocervical cells what does that mean?
6849,"My pap smear results state ""Epithelial cell abnormality"" and ""LSIL"". I've had the HPV vaccine - what is the likelihood it could still be HPV?"
6850,My pap smear say satisfactor for evaluation...Negative forintraepithelial lession/malignancy. Wat this means?
6851,My pap smear test explains is it correct? .... microscopic description :pap smear (02)on staining reveal mainly superficial &intermediate squamous epi
6852,My pap smear was negative for HPV but showed endometrial cells?What does this mean?My dr. Wants to do a biopsy.
6853,"My pap test was ""abnormal, "" what happens now?"
6854,"My pap was ""abnormal, "" what happens now?"
6855,My pap was normal last yr this yr it came back ascius they slso detected HPV and its high risk can this be cancer or precancerous cell .Im scared  ?
6856,My papsmear came back abnormal with high grade dyslpasia. What is wrong with me?
6857,My question is can an IUD cause abnormal pap smears?
6858,My smear said borderline changes what does this mean? Will I get cancer
6859,Need expert help here. What are the reasons for an abnormal pap smear?
6860,Normal pap smear postivie hpv...Do I need coloscopy?
6861,Nurse said Pap showed Atypia high risk HPV but not types16 or 18. Can you give me information on what that means exactly?
6862,One pap smear said it was BV then another months later said it was trich. Could he of just been wrong the first time?
6863,"Pap Smear done 8 months back, no atypical cells, only mild inflammatory smear. Doctor said it is normal, should the test be repeated any time soo?"
6864,"Pap result: mild inflam. Background, superficial & intermed. Squamous cells w/ benign endocervical cells; history of 2 irreg. Paps. Colposcopy needed?"
